WellFilterId|StateWellId|FilterMaterialId|FilterMaterialOtherDesc|TopDepth|BottomDepth|Size|CreatedDate|LastUpdateDate
476|77054|10||0|892|12/20|2017-05-03|2017-05-03
477|77055|10||0|900|12/20|2017-05-03|2017-05-03
478|77056|10||0|820|12/20|2017-05-03|2017-05-03
479|139260|10||40|60||2017-05-16|2017-05-16
480|139263|10||140|193||2017-05-16|2017-05-16
481|139266|10||210|263||2017-05-17|2017-05-17
482|139267|10||300|363|.375|2017-05-17|2017-05-17
483|115642|10||15|140||2017-05-25|2017-05-25
484|102073|10||600|801||2017-06-14|2017-06-14
485|139275|10||100|260|1|2017-06-15|2017-06-15
486|139276|10||150|350|2|2017-06-15|2017-06-15
487|120375|10||0|562||2017-06-16|2017-06-16
488|121136|10||510|715||2017-06-16|2017-06-16
489|120414|10||402|610|8/16|2017-06-16|2017-06-16
490|92809|10||0|190||2017-06-21|2017-06-21
491|120415|10||402|650|8/16|2017-06-26|2017-06-26
492|120394|10||462|620|8/12|2017-06-26|2017-06-26
493|120418|10||447|720|8/12|2017-06-26|2017-06-26
494|121137|10||467|670|8/16|2017-06-26|2017-06-26
495|120419|10||437|645|8/16|2017-06-26|2017-06-26
496|121160|10||497|740|8/16|2017-06-26|2017-06-26
497|121161|10||492|740|8/16|2017-06-26|2017-06-26
498|139326|10||700|960|12/20|2017-07-10|2017-07-10
499|99072|10||650|953|10/20|2017-07-19|2017-07-19
