WaterQualityParameterId|WaterQualityParameterCode|ConstituentName|ParameterLongDescription|ParameterShortDescription|ParameterUnitOfMeasure|CreatedDate|LastUpdateDate
755|77353|BENZENE|TERT-BUTYLBENZENE, WATER, TOTAL RECOVERABLE, UG/L|TERBUTYL|UG/L||
756|77356|PISOPROP|P-ISOPROPYLTOLUENE, WATER, TOTAL RECOVERABLE, UG/L|TOLUENE|UG/L||
757|77416|2MNAPTHA|2-METHYLNAPHTHALENE IN WHOLE WATER, UG/L|TOTAL|UG/L||
758|77421|4CHLORO|4-CHLORO-3-CRESOL, TOTAL, UG/L|3CRESOL|UG/L||
759|77424|IODOMETH|IODOMETHANE, TOTAL, UG/L|TOTAL|UG/L||
760|77443|1,2,3TRI|1,2,3-TRICHLOROPROPANE, TOTAL, UG/L|CHL PROP|UG/L||
761|77545|SAFROLE|SAFROLE, TOTAL, UG/L|TOTAL|UG/L||
762|77562|1112TCLE|1,1,1,2-TETRACHLOROETHANE, TOTAL, UG/L|TOTAL|UG/L||
763|77579|DIPHENYL|DIPHENYLAMINE, TOTAL, UG/L|AMINE-T|UG/L||
764|77613|123TCLBZ|1,2,3-TRICHLOROBENZENE IN WHOLE WATER, UG/L|TOTAL|UG/L||
765|77651|12DBROMO|1,2-DIBROMOETHANE, TOTAL, UG/L|ETHANE T|UG/L||
766|77652|FREON113|FREON 113, WATER, TOTAL RECOVERABLE, UG/L|TOTAL|UG/L||
767|77687|245TCLPH|2,4,5-TRICHLOROPHENOL IN WHOLE WATER, UG/L|TOTAL|UG/L||
768|77700|CARBARYL|CARBARYL (SEVIN), TOTAL, UG/L|TOTAL|UG/L||
769|77734|1245TCLB|1,2,4,5-TETRACHLOROBENZENE IN WHOLE WATER, UG/L|TOTAL|UG/L||
770|77825|ALACHLOR|ALACHLOR, TOTAL, UG/L|TOTAL|UG/L||
771|77860|BUTACLOR|BUTACHLOR, TOTAL, UG/L|TOTAL|UG/L||
772|77903|B(2EH)AD|BIS(2-ETHYLHEXYL) ADIPATE IN WHOLE WATER, UG/L|TOTAL|UG/L||
773|77966|CHLORO|CHLOROPHENOL, TOTAL, UG/L|PHENOL|UG/L||
774|77970|CHLORO|CHLOROTOLUENE, TOTAL, UG/L|TOLUENE|UG/L||
775|78004|DIPHENA|DIPHENAMID, TOTAL, UG/L|MID TOT|UG/L||
776|78013|ETHYL|ETHYL HEXANOL IN WATER, UG/L|HEXANOL|UG/L||
