date,Coal,Hydro,Nuclear,Other,Wind,NGas
2010-07-25,391959.1953,2486.455925,121092.7152,16069.82461,93244.90565,514207.9673
2010-07-26,415617.2415,2443.095116,121073.735,15588.35458,58049.99511,514848.0244
2010-07-27,422554.09,2266.429435,121096.273,16386.533,31772.83398,483830.6723
2010-07-28,412337.0077,2358.077252,121082.9614,15059.19562,52801.15934,444969.53845
2010-07-29,403232.7672,2488.505254,120634.2713,14896.53437,89056.16145,434655.2225
2010-07-30,400316.5166,2466.043944,120864.9318,15676.40261,69644.57607,448783.4081
2010-07-31,401051.134,2427.953824,121012.4234,17619.40051,33482.68326,487409.23140000005
2010-08-01,409036.1303,2229.162469,121104.9574,16152.50662,36422.95349,410304.18299999996
2010-08-02,414653.7423,2142.815607,121413.087,15258.43737,41514.262,359012.34773
2010-08-03,312169.5682,2339.971628,90273.00412,12254.26814,33432.40511,298461.63945
2010-08-04,275600.9412,2392.872096,98359.85127,12616.24036,81349.08882,249057.87965000002
2010-08-05,306168.7186,2558.709648,105680.1503,15889.02215,29556.49278,319588.39733
2010-08-06,303167.8916,2715.41462,114438.4303,9070.999811,87759.89878,274329.63459000003
2010-08-07,293770.8558,2854.081255,120890.0751,12727.21863,58534.08772,355425.28234
2010-08-08,300924.573,2891.352766,123015.4123,12827.24842,103524.9559,327171.07721
2010-08-09,306114.3394,3138.196867,122839.1681,14114.32065,118359.5599,315590.46283
2010-08-10,269562.2009,2562.149096,122874.231,8894.100384,78834.8697,232415.43303
2010-08-11,285144.5721,2495.333151,123121.8374,7997.139684,66844.73569,198735.23057
2010-08-12,290299.8294,2740.093226,123134.3716,9597.402785,124270.0524,305723.38156
2010-08-13,302534.9749,2804.313138,123052.5852,13459.77172,97674.59447,379854.62148000003
2010-08-14,303942.8454,2799.785855,122942.7672,13818.16432,118787.9912,362004.67166
2010-08-15,340829.6052,3207.858996,122979.8987,11046.03446,66122.54592,360091.72245999996
2010-08-16,324640.4524,3623.168281,122944.8851,9154.917805,80700.89658,283216.66403
2010-08-17,292019.6952,4129.73516,123033.1274,10795.77502,21817.59621,262511.95406
2010-08-18,305534.0263,4270.765795,123021.085,11600.74561,8446.960769,326098.20819000003
2010-08-19,321467.0986,4315.297161,122345.2135,13925.20381,35497.87758,388077.41670000006
2010-08-20,307808.1269,4332.651046,122209.0091,12725.09432,48235.64519,358149.91595
2010-08-21,317994.9123,4316.274782,122513.0097,12322.05332,83781.87818,368221.36381
2010-08-22,341816.1361,4543.140001,122388.333,12586.90637,41162.82745,394435.18529000005
2010-08-23,339392.8483,4247.843304,122416.2511,12290.18249,104440.5187,350757.92688000004
2010-08-24,354897.9901,2570.301021,122335.1256,10469.69306,136803.7547,286912.54634999996
2010-08-25,361806.4293,2525.249362,122349.2618,11383.57477,137745.1204,293450.35491
2010-08-26,368868.607,2562.737327,122382.5851,11860.19062,126750.4028,339776.12317
2010-08-27,368995.1918,2885.98501,122521.9331,13198.29828,49767.28129,382172.6527
2010-08-28,373313.7498,3049.964811,118783.6855,15605.61511,37383.29376,413971.49140000006
2010-08-29,397942.2983,4033.35081,118232.0544,16356.37923,18446.55696,424136.13249
2010-08-30,409330.1663,2895.154014,118043.074,15970.52068,24745.84167,426564.37897
2010-08-31,387960.5927,2817.651955,121654.8905,12858.00933,43755.23622,375073.68234
2010-09-01,362704.7651,3058.897127,121794.3363,11973.75926,55014.84131,371536.84701
2010-09-02,382336.6392,2940.758922,121647.6549,12746.36752,55802.67055,381630.72478
2010-09-03,271627.3523,2542.072803,90585.16629,5420.608288,128376.3177,219319.52678000001
2010-09-04,271649.8145,2952.40577,90617.1566,4578.997287,91167.62232,233474.60621
2010-09-05,244533.5628,2895.012165,72792.46472,4791.595921,70515.62332,270825.19381
2010-09-06,232626.7804,2653.203098,60260.34682,4052.395619,114113.2619,250130.2434
2010-09-07,270938.8962,2498.766179,60929.41326,4551.083894,128032.0935,302460.94116
2010-09-08,282885.4758,2565.021233,61149.9004,4103.678521,126322.1628,299635.03813
2010-09-09,271613.5208,2555.279058,61085.97114,4614.515957,98862.2509,295407.74564
2010-09-10,259463.9385,2563.509733,61326.93107,4761.926478,37590.20505,312296.51343000005
2010-09-11,244812.865,2524.095609,61350.74686,3770.567504,125177.5124,243074.42296999999
2010-09-12,245583.5925,2398.602148,61305.04286,3675.249012,101640.4751,230529.87457
2010-09-13,243378.527,2481.059306,61287.642,4070.886463,79159.01688,251642.57544
2010-09-14,243892.2975,2502.936436,61108.33024,5303.170205,84811.97942,316003.69117999997
2010-09-15,240159.3606,2087.03985,61339.12846,4042.917075,112735.0633,303678.71837
2010-09-16,245946.3273,1966.697593,61326.34786,4393.41275,101765.902,313929.36219
2010-09-17,265213.8998,2092.562688,61266.55346,7414.53694,70151.35773,320607.59397000005
2010-09-18,273823.3862,3570.586921,61247.17774,10394.48359,75083.2997,297113.46234
2010-09-19,260470.5335,4074.672062,61262.86819,3145.283111,95701.17738,248248.51154
2010-09-20,256294.2941,3806.262838,61247.6426,2742.078782,42830.94663,265192.56821
2010-09-21,280220.1113,3496.470335,61250.68716,7888.22743,9041.632837,321166.24292
2010-09-22,281643.7439,4436.555832,60904.60844,4929.543804,29852.93114,318281.37215
2010-09-23,264098.7991,3495.465991,61036.80841,4508.617859,104963.3853,292944.67394999997
2010-09-24,269832.307,3960.700232,61005.59763,4539.522767,124712.8191,263466.76869
2010-09-25,284582.8319,3011.081703,60833.13497,9482.005259,70725.67186,355203.44212
2010-09-26,264110.5931,3158.845507,60678.80538,4475.173517,83750.86771,274431.20279999997
2010-09-27,258553.3825,3148.363313,59969.99219,3994.655817,42896.00424,288600.2883
2010-09-28,276146.6844,2748.738597,59945.12254,7600.118699,80404.24185,314890.3383
2010-09-29,272476.1443,2968.536612,63240.58179,4510.645333,23396.54852,336518.17617
2010-09-30,252472.7209,2641.759596,77324.54359,4186.885306,119710.8225,269142.99832
2010-10-01,256543.1887,2975.487487,84177.90316,4210.96676,134680.8901,295654.17104
2010-10-02,293299.3922,2892.480198,88722.91564,11940.99092,76288.22909,332593.5098
